dataset,unit_type,method,B,cost_ratio,C_rev,n_units,mean_delta,ci_2.5,ci_97.5,permutation_p,wilcoxon_p,cs_wins_pct,holm_p
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.6,5.0,0.25,1200,0.101625,0.08395833333333333,0.12018854166666666,9.999000099990002e-05,0.15141085729495501,43.25,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.6,5.0,0.5,1200,0.09433333333333332,0.08029166666666666,0.10937604166666665,9.999000099990002e-05,1.257376166057403e-16,35.16666666666667,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.6,5.0,1.0,1200,0.22566666666666668,0.20983333333333334,0.24149999999999996,9.999000099990002e-05,1.1326909182882508e-118,10.416666666666668,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.6,5.0,2.0,1200,0.27699999999999997,0.2439166666666667,0.3097520833333333,9.999000099990002e-05,7.560685498306746e-45,31.5,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.6,10.0,0.25,1200,0.28727083333333336,0.2430203125,0.3337729166666666,9.999000099990002e-05,0.8485230934962452,49.666666666666664,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.6,10.0,0.5,1200,0.25916666666666666,0.2226666666666667,0.2969583333333334,9.999000099990002e-05,4.124065202953946e-14,36.833333333333336,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.6,10.0,1.0,1200,0.37416666666666665,0.34341458333333336,0.40525208333333335,9.999000099990002e-05,3.6665324867507455e-133,10.416666666666668,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.6,10.0,2.0,1200,0.7264166666666667,0.67508125,0.7778354166666667,9.999000099990002e-05,2.612735707761667e-125,15.25,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.7,1.0,0.25,1200,0.0,0.0,0.0,1.0,1.0,0.0,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.7,1.0,0.5,1200,0.0,0.0,0.0,1.0,1.0,0.0,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.7,1.0,1.0,1200,0.0,0.0,0.0,1.0,1.0,0.0,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.7,1.0,2.0,1200,0.0,0.0,0.0,1.0,1.0,0.0,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.7,2.0,0.25,1200,0.011083333333333332,0.006958333333333331,0.015333333333333332,9.999000099990002e-05,0.554439573880506,28.166666666666668,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.7,2.0,0.5,1200,0.020999999999999998,0.015625,0.02654270833333332,9.999000099990002e-05,2.9799633154261906e-11,30.25,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.7,2.0,1.0,1200,0.044250000000000005,0.03475,0.05408333333333334,9.999000099990002e-05,6.386086904551279e-16,25.583333333333336,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.7,2.0,2.0,1200,0.043416666666666666,0.03316666666666667,0.05358333333333333,9.999000099990002e-05,2.4943003914625058e-15,26.0,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.7,3.0,0.25,1200,0.0316875,0.024062500000000004,0.03960468749999999,9.999000099990002e-05,0.1318739723425603,33.5,
