dataset,unit_type,method,B,cost_ratio,C_rev,n_units,mean_delta,ci_2.5,ci_97.5,permutation_p,wilcoxon_p,cs_wins_pct,holm_p
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.7,3.0,0.5,1200,0.03004166666666667,0.024458333333333335,0.03591666666666666,9.999000099990002e-05,9.151218869623167e-21,26.083333333333332,9.999000099990002e-05
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.7,3.0,1.0,1200,0.13275,0.11891666666666666,0.14708333333333334,9.999000099990002e-05,9.449246079767197e-60,21.166666666666668,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.7,3.0,2.0,1200,0.12308333333333332,0.10524999999999998,0.14083333333333334,9.999000099990002e-05,2.309729666904775e-32,29.916666666666668,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.7,5.0,0.25,1200,0.07927083333333333,0.06379114583333333,0.09577135416666666,9.999000099990002e-05,0.6438701059348747,39.08333333333333,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.7,5.0,0.5,1200,0.067625,0.056541666666666664,0.07925104166666665,9.999000099990002e-05,5.617988066017501e-19,30.25,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.7,5.0,1.0,1200,0.23200000000000004,0.2176666666666667,0.24649999999999997,9.999000099990002e-05,1.1972414054726754e-133,7.000000000000001,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.7,5.0,2.0,1200,0.27699999999999997,0.24524791666666665,0.3099166666666667,9.999000099990002e-05,7.560685498306746e-45,31.5,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.7,10.0,0.25,1200,0.21810416666666668,0.1806234375,0.25818802083333336,9.999000099990002e-05,0.6350509676973652,45.166666666666664,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.7,10.0,0.5,1200,0.20583333333333337,0.17383333333333334,0.23958333333333334,9.999000099990002e-05,1.3718652806788265e-16,32.083333333333336,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.7,10.0,1.0,1200,0.33166666666666667,0.3084166666666667,0.35575208333333325,9.999000099990002e-05,2.736487407863158e-151,6.416666666666666,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.7,10.0,2.0,1200,0.7293333333333334,0.6798333333333333,0.7789166666666667,9.999000099990002e-05,4.3919492569389994e-132,13.916666666666666,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.8,1.0,0.25,1200,0.0,0.0,0.0,1.0,1.0,0.0,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.8,1.0,0.5,1200,0.0,0.0,0.0,1.0,1.0,0.0,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.8,1.0,1.0,1200,0.0,0.0,0.0,1.0,1.0,0.0,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.8,1.0,2.0,1200,0.0,0.0,0.0,1.0,1.0,0.0,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.8,2.0,0.25,1200,0.0072499999999999995,0.0035208333333333324,0.011083333333333334,9.999000099990002e-05,0.12280345589016813,27.0,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.8,2.0,0.5,1200,0.020999999999999998,0.015499999999999998,0.02654166666666666,9.999000099990002e-05,2.9799633154261906e-11,30.25,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.8,2.0,1.0,1200,0.044250000000000005,0.034666666666666665,0.05408333333333334,9.999000099990002e-05,6.386086904551279e-16,25.583333333333336,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.8,2.0,2.0,1200,0.043416666666666666,0.03333125,0.053583333333333344,9.999000099990002e-05,2.4943003914625058e-15,26.0,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.8,3.0,0.25,1200,0.015770833333333335,0.0101453125,0.02177135416666666,9.999000099990002e-05,0.23671932953883745,28.999999999999996,
Cross-Cultural,paired_unit,s2_oracle_scalar_alpha,0.8,3.0,0.5,1200,0.029625,0.024333333333333332,0.034958333333333334,9.999000099990002e-05,3.0169348925626192e-24,23.333333333333332,9.999000099990002e-05
