dataset,fold,seed,method,cost_ratio,C_rev,B,n_test,n_truth,n_lie,n_reject,n_accept,n_singleton,n_empty,n_ambiguous,n_fp,n_fn,n_tp,n_tn,fp_rate,fn_rate,reject_rate,decision_coverage,acceptance_rate,label_coverage,label_coverage_truth,label_coverage_lie,total_cost,expected_cost
Open-Domain,0,7,s2_oracle_scalar_alpha,3.0,0.25,0.7,1360,663,697,875,485,485,0,875,89,69,175,152,0.13423831070889894,0.09899569583931134,0.6433823529411765,0.35661764705882354,0.35661764705882354,0.8838235294117647,0.8657616892911011,0.9010043041606887,514.75,0.3784926470588235
Open-Domain,0,7,cs_budget_selected,3.0,0.25,0.8,1360,663,697,1025,335,335,0,1025,89,19,171,56,0.13423831070889894,0.027259684361549498,0.7536764705882353,0.24632352941176472,0.24632352941176472,0.9205882352941176,0.8657616892911011,0.9727403156384505,402.25,0.2957720588235294
Open-Domain,0,7,s2_oracle_scalar_alpha,3.0,0.25,0.8,1360,663,697,1034,326,326,0,1034,58,37,136,95,0.08748114630467571,0.05308464849354376,0.7602941176470588,0.23970588235294119,0.23970588235294119,0.9301470588235294,0.9125188536953243,0.9469153515064562,427.5,0.31433823529411764
Open-Domain,0,7,cs_mondrian,3.0,0.5,,1360,663,697,1075,285,285,0,1075,68,19,145,53,0.10256410256410256,0.027259684361549498,0.7904411764705882,0.20955882352941177,0.20955882352941177,0.9360294117647059,0.8974358974358975,0.9727403156384505,662.5,0.48713235294117646
Open-Domain,0,7,s1_reverse,3.0,0.5,,1360,663,697,1151,209,209,0,1151,16,41,48,104,0.024132730015082957,0.058823529411764705,0.8463235294117647,0.1536764705882353,0.1536764705882353,0.9580882352941177,0.975867269984917,0.9411764705882353,714.5,0.5253676470588236
Open-Domain,0,7,cs_budget_selected,3.0,0.5,0.6,1360,663,697,745,615,615,0,745,179,40,292,104,0.26998491704374056,0.05738880918220947,0.5477941176470589,0.4522058823529412,0.4522058823529412,0.8389705882352941,0.7300150829562594,0.9426111908177905,671.5,0.49375
Open-Domain,0,7,s2_oracle_scalar_alpha,3.0,0.5,0.6,1360,663,697,760,600,600,0,760,108,98,208,186,0.16289592760180996,0.1406025824964132,0.5588235294117647,0.4411764705882353,0.4411764705882353,0.8485294117647059,0.8371040723981901,0.8593974175035868,782.0,0.575
Open-Domain,0,7,cs_budget_selected,3.0,0.5,0.7,1360,663,697,810,550,550,0,810,157,37,261,95,0.2368024132730015,0.05308464849354376,0.5955882352941176,0.40441176470588236,0.40441176470588236,0.8573529411764705,0.7631975867269984,0.9469153515064562,673.0,0.4948529411764706
Open-Domain,0,7,s2_oracle_scalar_alpha,3.0,0.5,0.7,1360,663,697,875,485,485,0,875,89,69,175,152,0.13423831070889894,0.09899569583931134,0.6433823529411765,0.35661764705882354,0.35661764705882354,0.8838235294117647,0.8657616892911011,0.9010043041606887,733.5,0.5393382352941176
Open-Domain,0,7,cs_budget_selected,3.0,0.5,0.8,1360,663,697,810,550,550,0,810,157,37,261,95,0.2368024132730015,0.05308464849354376,0.5955882352941176,0.40441176470588236,0.40441176470588236,0.8573529411764705,0.7631975867269984,0.9469153515064562,673.0,0.4948529411764706
Open-Domain,0,7,s2_oracle_scalar_alpha,3.0,0.5,0.8,1360,663,697,1034,326,326,0,1034,58,37,136,95,0.08748114630467571,0.05308464849354376,0.7602941176470588,0.23970588235294119,0.23970588235294119,0.9301470588235294,0.9125188536953243,0.9469153515064562,686.0,0.5044117647058823
Open-Domain,0,7,cs_mondrian,3.0,1.0,,1360,663,697,1075,285,285,0,1075,68,19,145,53,0.10256410256410256,0.027259684361549498,0.7904411764705882,0.20955882352941177,0.20955882352941177,0.9360294117647059,0.8974358974358975,0.9727403156384505,1200.0,0.8823529411764706
Open-Domain,0,7,s1_reverse,3.0,1.0,,1360,663,697,1151,209,209,0,1151,16,41,48,104,0.024132730015082957,0.058823529411764705,0.8463235294117647,0.1536764705882353,0.1536764705882353,0.9580882352941177,0.975867269984917,0.9411764705882353,1290.0,0.9485294117647058
Open-Domain,0,7,cs_budget_selected,3.0,1.0,0.6,1360,663,697,284,1076,1076,0,284,326,96,469,185,0.4917043740573152,0.13773314203730272,0.2088235294117647,0.7911764705882353,0.7911764705882353,0.6897058823529412,0.5082956259426847,0.8622668579626973,898.0,0.6602941176470588
Open-Domain,0,7,s2_oracle_scalar_alpha,3.0,1.0,0.6,1360,663,697,705,655,655,0,705,122,105,234,194,0.18401206636500755,0.15064562410329985,0.5183823529411765,0.48161764705882354,0.48161764705882354,0.8330882352941177,0.8159879336349924,0.8493543758967002,1142.0,0.8397058823529412
Open-Domain,0,7,cs_budget_selected,3.0,1.0,0.7,1360,663,697,284,1076,1076,0,284,326,96,469,185,0.4917043740573152,0.13773314203730272,0.2088235294117647,0.7911764705882353,0.7911764705882353,0.6897058823529412,0.5082956259426847,0.8622668579626973,898.0,0.6602941176470588
Open-Domain,0,7,s2_oracle_scalar_alpha,3.0,1.0,0.7,1360,663,697,705,655,655,0,705,122,105,234,194,0.18401206636500755,0.15064562410329985,0.5183823529411765,0.48161764705882354,0.48161764705882354,0.8330882352941177,0.8159879336349924,0.8493543758967002,1142.0,0.8397058823529412
Open-Domain,0,7,cs_budget_selected,3.0,1.0,0.8,1360,663,697,284,1076,1076,0,284,326,96,469,185,0.4917043740573152,0.13773314203730272,0.2088235294117647,0.7911764705882353,0.7911764705882353,0.6897058823529412,0.5082956259426847,0.8622668579626973,898.0,0.6602941176470588
Open-Domain,0,7,s2_oracle_scalar_alpha,3.0,1.0,0.8,1360,663,697,705,655,655,0,705,122,105,234,194,0.18401206636500755,0.15064562410329985,0.5183823529411765,0.48161764705882354,0.48161764705882354,0.8330882352941177,0.8159879336349924,0.8493543758967002,1142.0,0.8397058823529412
Open-Domain,0,7,cs_mondrian,3.0,2.0,,1360,663,697,1075,285,285,0,1075,68,19,145,53,0.10256410256410256,0.027259684361549498,0.7904411764705882,0.20955882352941177,0.20955882352941177,0.9360294117647059,0.8974358974358975,0.9727403156384505,2275.0,1.6727941176470589
