dataset,config,method,B,cost_ratio,C_rev,n_subjects,mean_delta,median_delta,ci_2.5,ci_97.5,permutation_p,wilcoxon_p,sign_p,n_positive,n_negative,n_zero,cs_wins_pct,holm_p
MDPE,OADNet_text,s1_reverse,,3.0,0.5,191,0.027356969421048635,0.020833333333333325,0.020287839555353206,0.034738172471355945,0.0,4.403029113837781e-10,0.00018306973677066906,120,68,3,35.602094240837694,0.0
MDPE,OADNet_text,s1_reverse,,3.0,1.0,191,0.021558919493133016,0.016666666666666698,0.01522118521890887,0.027978222930419606,0.0,4.482406194256205e-09,4.2739913906474813e-07,127,58,6,30.36649214659686,
MDPE,OADNet_text,s1_reverse,,3.0,2.0,191,0.009962819637301766,0.016666666666666653,-0.003522791941725473,0.023302365505728815,0.1415,0.14044963521109338,0.10929564898388108,106,83,2,43.455497382198956,
MDPE,OADNet_text,s1_reverse,,5.0,0.25,191,0.10073696790348281,0.07083333333333333,0.08238434488580318,0.12065746168146295,0.0,7.363237099603528e-18,6.853379734217895e-11,139,50,2,26.17801047120419,
MDPE,OADNet_text,s1_reverse,,5.0,0.5,191,0.09613400106229608,0.06666666666666665,0.0797376270961378,0.11313412910691249,0.0,1.8759746478392816e-20,2.573175488023757e-14,146,43,2,22.5130890052356,
MDPE,OADNet_text,s1_reverse,,5.0,1.0,191,0.0869280673799226,0.075,0.07319589877835952,0.10080056339631231,0.0,7.344484727632493e-23,5.78796833231338e-22,157,30,4,15.706806282722512,
MDPE,OADNet_text,s1_reverse,,5.0,2.0,191,0.06851620001517565,0.0833333333333333,0.051526955762956204,0.0852493076105926,0.0,9.896266546525236e-13,9.258720231217133e-10,137,53,1,27.748691099476442,
MDPE,OADNet_text,s1_reverse,,10.0,0.25,191,0.29209348205478414,0.25,0.2505140398550724,0.3351953984558768,0.0,5.329247288277332e-25,8.572087075329543e-19,155,36,0,18.848167539267017,
MDPE,OADNet_text,s1_reverse,,10.0,0.5,191,0.2840864253737006,0.2375,0.24501529421807422,0.3238352682297594,0.0,1.2181045586941237e-26,1.17131377402057e-19,155,34,2,17.801047120418847,
MDPE,OADNet_text,s1_reverse,,10.0,1.0,191,0.26807231201153353,0.2166666666666667,0.23376626640868045,0.30353109112982773,0.0,1.6605475801887318e-29,6.446975306932117e-30,169,21,1,10.99476439790576,
MDPE,OADNet_text,s1_reverse,,10.0,2.0,191,0.23604408528719933,0.2083333333333334,0.20708485089915776,0.26609065558843614,0.0,1.1634759968262812e-27,7.905290080352722e-31,170,20,1,10.471204188481675,
MDPE,OADNet_audio,s1_reverse,,1.0,0.25,191,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,191,0.0,
MDPE,OADNet_audio,s1_reverse,,1.0,0.5,191,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,191,0.0,
MDPE,OADNet_audio,s1_reverse,,1.0,1.0,191,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,191,0.0,
MDPE,OADNet_audio,s1_reverse,,1.0,2.0,191,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,191,0.0,
MDPE,OADNet_audio,s1_reverse,,2.0,0.25,191,-0.0019002769557629575,-0.006249999999999994,-0.007364972209575843,0.003846566981561574,0.5128,0.1750769118452935,0.015308531789131533,76,110,5,57.59162303664922,
MDPE,OADNet_audio,s1_reverse,,2.0,0.5,191,0.0007293800743607258,-0.004166666666666652,-0.002634873662645117,0.0041733771530465145,0.672,0.5508947462529373,0.0844339624789741,77,101,13,52.879581151832454,
MDPE,OADNet_audio,s1_reverse,,2.0,1.0,191,0.005988694134608086,0.008333333333333326,-0.0001688291979664627,0.012097086273617115,0.0501,0.05764483621752139,0.059196151400624855,101,75,15,39.26701570680628,
MDPE,OADNet_audio,s1_reverse,,2.0,2.0,191,0.01650732225510281,0.008333333333333281,-0.0022883469914257598,0.035228820471962956,0.0872,0.24441445466107548,0.6626346634894794,98,91,2,47.64397905759162,
MDPE,OADNet_audio,s1_reverse,,3.0,0.25,191,0.018634759845208286,5.551115123125783e-18,0.0079349485924577,0.029675323905455648,0.001,0.02245332608754454,0.9421914836304657,96,94,1,49.21465968586388,
MDPE,OADNet_audio,s1_reverse,,3.0,0.5,191,0.02157788906593823,0.004166666666666663,0.01432674614917672,0.029350766370741327,0.0,4.418313654940331e-05,0.27135236737309915,101,85,5,44.50261780104712,0.0
MDPE,OADNet_audio,s1_reverse,,3.0,1.0,191,0.027464147507398135,0.025,0.01994460884740876,0.03509755102815084,0.0,3.011978626025878e-11,1.7218675720944953e-10,135,49,7,25.654450261780106,
