dataset,config,method,B,cost_ratio,C_rev,n_subjects,mean_delta,median_delta,ci_2.5,ci_97.5,permutation_p,wilcoxon_p,sign_p,n_positive,n_negative,n_zero,cs_wins_pct,holm_p
MDPE,OADNet_audio,s1_reverse,,3.0,2.0,191,0.03923666439031793,0.008333333333333349,0.015751716746338868,0.06343804537521815,0.0014,0.019285018102076248,0.10929564898388108,106,83,2,43.455497382198956,
MDPE,OADNet_audio,s1_reverse,,5.0,0.25,191,0.07354930191972077,0.020833333333333325,0.0521391394453297,0.09573923239623645,0.0,9.98626298958145e-07,0.16791105600903397,105,85,1,44.50261780104712,
MDPE,OADNet_audio,s1_reverse,,5.0,0.5,191,0.07588872448592457,0.016666666666666673,0.05885079956749375,0.0941657418999924,0.0,1.8384677294547375e-11,7.02732420805379e-05,121,66,4,34.55497382198953,
MDPE,OADNet_audio,s1_reverse,,5.0,1.0,191,0.0805675696183322,0.06666666666666665,0.06782760452234617,0.09357073753699065,0.0,1.427246470777759e-22,2.417596589733704e-20,154,32,5,16.75392670157068,
MDPE,OADNet_audio,s1_reverse,,5.0,2.0,191,0.08992525988314741,0.05217391304347822,0.06610279611503149,0.11479844828894453,0.0,2.962332993276096e-11,2.3864849252598014e-09,136,54,1,28.272251308900525,
MDPE,OADNet_audio,s1_reverse,,10.0,0.25,191,0.2194262652705061,0.06666666666666668,0.17100499611123757,0.27067988134532206,0.0,4.205973235142059e-12,0.004537135222797169,115,75,1,39.26701570680628,
MDPE,OADNet_audio,s1_reverse,,10.0,0.5,191,0.22144605053494196,0.07916666666666665,0.1776621898474847,0.26821949218453606,0.0,3.7589431508723687e-17,3.5912299843426873e-07,129,59,3,30.89005235602094,
MDPE,OADNet_audio,s1_reverse,,10.0,1.0,191,0.22548562106381367,0.1333333333333333,0.1895307401927309,0.2649220350557706,0.0,1.2543594864939736e-28,5.355420111346468e-31,168,19,4,9.947643979057592,
MDPE,OADNet_audio,s1_reverse,,10.0,2.0,191,0.233564762121557,0.21666666666666662,0.2025717524091357,0.26557259655512566,0.0,2.9018169188286767e-26,1.9062957178124543e-25,163,26,2,13.612565445026178,
SEUMLD,OADNet_text,s2_oracle_scalar_alpha,0.6,1.0,0.25,76,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,76,0.0,
SEUMLD,OADNet_text,s2_oracle_scalar_alpha,0.6,1.0,0.5,76,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,76,0.0,
