dataset,config,fold,seed,method,cost_ratio,C_rev,B,alpha_truth,alpha_lie,total_nominal_budget,q_truth,q_lie,n_test,n_truth,n_lie,n_reject,n_accept,n_singleton,n_empty,n_ambiguous,n_fp,n_fn,n_tp,n_tn,fp_rate,fn_rate,reject_rate,decision_coverage,acceptance_rate,label_coverage,label_coverage_truth,label_coverage_lie,total_cost,expected_cost
SEUMLD,OADNet_text,0,7,cs_budget_selected,1.0,1.0,0.6,0.39,0.39,0.39,0.33007097244262695,0.6848036348819733,653,431,222,9,644,644,0,9,160,102,117,265,0.37122969837587005,0.4594594594594595,0.013782542113323124,0.9862174578866769,0.9862174578866769,0.5987748851454824,0.62877030162413,0.5405405405405406,271.0,0.41500765696784075
SEUMLD,OADNet_text,0,7,s2_oracle_scalar_alpha,1.0,1.0,0.6,0.39,0.39,0.39,0.33007097244262695,0.6848036348819733,653,431,222,9,644,644,0,9,160,102,117,265,0.37122969837587005,0.4594594594594595,0.013782542113323124,0.9862174578866769,0.9862174578866769,0.5987748851454824,0.62877030162413,0.5405405405405406,271.0,0.41500765696784075
SEUMLD,OADNet_text,0,7,cs_budget_selected,1.0,1.0,0.7,0.39,0.39,0.39,0.33007097244262695,0.6848036348819733,653,431,222,9,644,644,0,9,160,102,117,265,0.37122969837587005,0.4594594594594595,0.013782542113323124,0.9862174578866769,0.9862174578866769,0.5987748851454824,0.62877030162413,0.5405405405405406,271.0,0.41500765696784075
SEUMLD,OADNet_text,0,7,s2_oracle_scalar_alpha,1.0,1.0,0.7,0.39,0.39,0.39,0.33007097244262695,0.6848036348819733,653,431,222,9,644,644,0,9,160,102,117,265,0.37122969837587005,0.4594594594594595,0.013782542113323124,0.9862174578866769,0.9862174578866769,0.5987748851454824,0.62877030162413,0.5405405405405406,271.0,0.41500765696784075
SEUMLD,OADNet_text,0,7,cs_budget_selected,1.0,1.0,0.8,0.39,0.39,0.39,0.33007097244262695,0.6848036348819733,653,431,222,9,644,644,0,9,160,102,117,265,0.37122969837587005,0.4594594594594595,0.013782542113323124,0.9862174578866769,0.9862174578866769,0.5987748851454824,0.62877030162413,0.5405405405405406,271.0,0.41500765696784075
SEUMLD,OADNet_text,0,7,s2_oracle_scalar_alpha,1.0,1.0,0.8,0.39,0.39,0.39,0.33007097244262695,0.6848036348819733,653,431,222,9,644,644,0,9,160,102,117,265,0.37122969837587005,0.4594594594594595,0.013782542113323124,0.9862174578866769,0.9862174578866769,0.5987748851454824,0.62877030162413,0.5405405405405406,271.0,0.41500765696784075
SEUMLD,OADNet_text,0,7,cs_mondrian,1.0,2.0,,0.1,0.1,0.1,0.5787913203239441,0.9311169683933258,653,431,222,432,221,221,0,432,39,31,41,110,0.09048723897911833,0.13963963963963963,0.6615620214395099,0.33843797856049007,0.33843797856049007,0.892802450229709,0.9095127610208816,0.8603603603603603,934.0,1.430321592649311
SEUMLD,OADNet_text,0,7,s1_reverse,1.0,2.0,,0.1,0.1,0.1,0.5787913203239441,0.9311169683933258,653,431,222,432,221,221,0,432,39,31,41,110,0.09048723897911833,0.13963963963963963,0.6615620214395099,0.33843797856049007,0.33843797856049007,0.892802450229709,0.9095127610208816,0.8603603603603603,934.0,1.430321592649311
SEUMLD,OADNet_text,0,7,s3_empirical_equal_risk,1.0,2.0,,0.109,0.0817857142857143,0.1,0.5666674971580505,0.9494051225483418,653,431,222,468,185,185,0,468,43,19,45,78,0.09976798143851508,0.08558558558558559,0.7166921898928025,0.2833078101071976,0.2833078101071976,0.9050535987748851,0.9002320185614849,0.9144144144144144,998.0,1.5283307810107198
SEUMLD,OADNet_text,0,7,s4_prevalence_inverse,1.0,2.0,,0.07470588235294118,0.15119047619047618,0.1,0.6749585270881653,0.8867207989096642,653,431,222,408,245,245,0,408,26,48,32,139,0.060324825986078884,0.21621621621621623,0.6248085758039816,0.37519142419601836,0.37519142419601836,0.886676875957121,0.9396751740139211,0.7837837837837838,890.0,1.3629402756508422
SEUMLD,OADNet_text,0,7,s5_exact_budget_match,1.0,2.0,,0.1,0.1,0.1,0.5787913203239441,0.9311169683933258,653,431,222,432,221,221,0,432,39,31,41,110,0.09048723897911833,0.13963963963963963,0.6615620214395099,0.33843797856049007,0.33843797856049007,0.892802450229709,0.9095127610208816,0.8603603603603603,934.0,1.430321592649311
SEUMLD,OADNet_text,0,7,cs_budget_selected,1.0,2.0,0.6,0.4,0.4,0.4,0.3169970214366913,0.6813527345657349,653,431,222,1,652,652,1,0,163,103,118,268,0.37819025522041766,0.46396396396396394,0.0015313935681470138,0.998468606431853,0.998468606431853,0.5911179173047473,0.6218097447795824,0.5315315315315315,268.0,0.4104134762633997
SEUMLD,OADNet_text,0,7,s2_oracle_scalar_alpha,1.0,2.0,0.6,0.4,0.4,0.4,0.3169970214366913,0.6813527345657349,653,431,222,1,652,652,1,0,163,103,118,268,0.37819025522041766,0.46396396396396394,0.0015313935681470138,0.998468606431853,0.998468606431853,0.5911179173047473,0.6218097447795824,0.5315315315315315,268.0,0.4104134762633997
SEUMLD,OADNet_text,0,7,cs_budget_selected,1.0,2.0,0.7,0.4,0.4,0.4,0.3169970214366913,0.6813527345657349,653,431,222,1,652,652,1,0,163,103,118,268,0.37819025522041766,0.46396396396396394,0.0015313935681470138,0.998468606431853,0.998468606431853,0.5911179173047473,0.6218097447795824,0.5315315315315315,268.0,0.4104134762633997
