dataset,config,cost_ratio,C_rev,eps_hum,n_subjects,mean_delta,median_delta,ci_2.5,ci_97.5,permutation_p,wilcoxon_p,sign_p,n_positive,n_negative,n_zero,cs_wins_pct,holm_p
MDPE,OADNet_text,2.0,2.0,0.05,191,0.09750929509067457,0.08875000000000002,0.09011642575309202,0.10496764502238409,0.0,6.256081204799491e-33,1.2744735289059618e-57,190,0,1,0.0,
MDPE,OADNet_text,3.0,0.25,0.05,191,-0.04300041733060171,-0.03249999999999999,-0.050343206995978454,-0.03572973101145762,0.0,3.7339628195505176e-20,3.669437586826548e-12,48,143,0,74.86910994764398,
MDPE,OADNet_text,3.0,0.5,0.05,191,-0.01965978071173838,-0.011666666666666669,-0.026380833143637608,-0.013089742677744903,0.0,3.7723826651758955e-06,0.02034707747611541,79,112,0,58.63874345549738,0.0
MDPE,OADNet_text,3.0,1.0,0.05,191,0.027021492525988306,0.026250000000000016,0.020701938216101372,0.03316817000531147,0.0,1.3089493495191262e-13,1.201594196420286e-13,146,45,0,23.56020942408377,
MDPE,OADNet_text,3.0,2.0,0.05,191,0.12038403900144166,0.1124999999999999,0.11162009162303664,0.1295437296077092,0.0,4.570402959767736e-33,1.2234945877497233e-55,190,1,0,0.5235602094240838,
MDPE,OADNet_text,5.0,0.25,0.05,191,-0.11274698383792398,-0.085,-0.1297114727976326,-0.09580522991122241,0.0,5.012030728420115e-25,5.890349705676008e-17,39,152,0,79.58115183246073,
MDPE,OADNet_text,5.0,0.5,0.05,191,-0.08257350709462022,-0.057083333333333354,-0.09837747078685788,-0.06676191052052508,0.0,1.0125658240369193e-16,2.3960182267252e-10,52,139,0,72.77486910994764,
MDPE,OADNet_text,5.0,1.0,0.05,191,-0.022226553608012744,-0.0062499999999999336,-0.03661818518096973,-0.00797630463236968,0.0021,0.04149290371595987,0.4694207824747448,90,101,0,52.879581151832454,
MDPE,OADNet_text,5.0,2.0,0.05,191,0.09846735336520218,0.08999999999999982,0.08510550876394257,0.11249984112982772,0.0,8.233996464084106e-25,9.907939068250734e-27,166,25,0,13.089005235602095,
MDPE,OADNet_text,10.0,0.25,0.05,191,-0.2957834433568556,-0.2633333333333333,-0.33563641494043545,-0.2580779578306397,0.0,3.604961606293949e-28,1.9585913081662178e-19,35,156,0,81.67539267015707,
MDPE,OADNet_text,10.0,0.5,0.05,191,-0.2580909021928826,-0.21749999999999997,-0.29588662834812957,-0.2214267679641855,0.0,5.704986853779805e-25,2.2628543764037026e-16,40,151,0,79.05759162303664,
MDPE,OADNet_text,10.0,1.0,0.05,191,-0.1827058198649366,-0.13374999999999998,-0.21800978829956746,-0.1474184853744594,0.0,1.3623660258498294e-16,2.493922669842346e-08,57,134,0,70.15706806282722,
MDPE,OADNet_text,10.0,2.0,0.05,191,-0.031935655209044705,0.00625,-0.06274246196600655,-0.00152016939828516,0.0444,0.28494207139995165,0.7723417190395665,98,93,0,48.69109947643979,
MDPE,OADNet_audio,1.0,0.25,0.05,191,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,191,0.0,
MDPE,OADNet_audio,1.0,0.5,0.05,191,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,191,0.0,
