dataset,config,cost_ratio,C_rev,eps_hum,n_units,unit_type,mean_delta,median_delta,ci_2.5,ci_97.5,permutation_p,wilcoxon_p,n_positive,n_negative,n_zero,cs_wins_pct,holm_p
Cross-Cultural,TFIDF_LR,1.0,1.0,0.1,1200,paired_unit,0.0,0.0,0.0,0.0,1.0,1.0,0,0,1200,0.0,
Cross-Cultural,TFIDF_LR,1.0,2.0,0.1,1200,paired_unit,0.0,0.0,0.0,0.0,1.0,1.0,0,0,1200,0.0,
Cross-Cultural,TFIDF_LR,2.0,0.25,0.1,1200,paired_unit,-0.01782916666666667,0.0,-0.0235084375,-0.012278854166666672,9.999000099990002e-05,0.022107005915244497,419,217,564,18.083333333333336,
Cross-Cultural,TFIDF_LR,2.0,0.5,0.1,1200,paired_unit,0.0046083333333333245,0.0,-0.0006252083333333432,0.009841874999999988,0.09099090090990901,0.04969368245159091,431,205,564,17.083333333333332,
Cross-Cultural,TFIDF_LR,2.0,1.0,0.1,1200,paired_unit,0.049483333333333324,0.0,0.04363312499999999,0.055308333333333314,9.999000099990002e-05,6.443783597308313e-56,502,134,564,11.166666666666666,
Cross-Cultural,TFIDF_LR,2.0,2.0,0.1,1200,paired_unit,0.13923333333333338,0.020000000000000018,0.12919979166666667,0.14910958333333338,9.999000099990002e-05,4.43630678792354e-106,636,0,564,0.0,
Cross-Cultural,TFIDF_LR,3.0,0.25,0.1,1200,paired_unit,-0.0510125,0.0,-0.06238822916666667,-0.04025,9.999000099990002e-05,0.0041376708553794595,480,247,473,20.583333333333336,
Cross-Cultural,TFIDF_LR,3.0,0.5,0.1,1200,paired_unit,-0.019450000000000016,0.0,-0.029450000000000014,-0.009449583333333353,0.00039996000399960006,0.5663857858762236,484,243,473,20.25,0.00039996000399960006
Cross-Cultural,TFIDF_LR,3.0,1.0,0.1,1200,paired_unit,0.043675000000000026,0.0,0.03367479166666668,0.05340041666666669,9.999000099990002e-05,1.5636787914318928e-18,523,204,473,17.0,
Cross-Cultural,TFIDF_LR,3.0,2.0,0.1,1200,paired_unit,0.16992500000000005,0.07000000000000028,0.15662500000000004,0.18287500000000004,9.999000099990002e-05,5.690576158198672e-101,611,112,477,9.333333333333334,
Cross-Cultural,TFIDF_LR,5.0,0.25,0.1,1200,paired_unit,-0.13134583333333333,0.0,-0.1539167708333333,-0.10949916666666666,9.999000099990002e-05,0.0016732036275472807,515,266,419,22.166666666666668,
Cross-Cultural,TFIDF_LR,5.0,0.5,0.1,1200,paired_unit,-0.09044999999999997,0.0,-0.11208458333333332,-0.07011666666666666,9.999000099990002e-05,0.014316159185508583,515,266,419,22.166666666666668,
Cross-Cultural,TFIDF_LR,5.0,1.0,0.1,1200,paired_unit,-0.00865833333333333,0.0,-0.02796708333333333,0.010633333333333331,0.3755624437556244,0.011841917345833453,528,253,419,21.083333333333336,
