dataset,config,fold,seed,method,cost_ratio,C_rev,eps_hum,q_truth,q_lie,n_test,n_truth,n_lie,n_reject,n_accept,n_singleton,n_empty,n_ambiguous,n_fp,n_fn,n_tp,n_tn,fp_rate,fn_rate,reject_rate,decision_coverage,acceptance_rate,label_coverage,label_coverage_truth,label_coverage_lie,total_cost,expected_cost
SEUMLD,OADNet_audio,3,123,singh,2.0,2.0,0.2,0.3686262369155884,0.8036274760961533,657,422,235,514,143,143,0,514,71,6,52,14,0.16824644549763032,0.02553191489361702,0.7823439878234398,0.2176560121765601,0.2176560121765601,0.882800608828006,0.8317535545023697,0.9744680851063829,1249.2,1.9013698630136986
SEUMLD,OADNet_audio,3,123,bayes_tau,2.0,2.0,0.0,0.3333333333333333,0.3333333333333333,657,422,235,0,657,657,0,0,147,137,98,275,0.34834123222748814,0.5829787234042553,0.0,1.0,1.0,,,,421.0,0.6407914764079148
SEUMLD,OADNet_audio,3,123,cs_mondrian,3.0,0.25,0.0,0.3686262369155884,0.8290853798389435,657,422,235,528,129,129,0,528,71,1,52,5,0.16824644549763032,0.00425531914893617,0.8036529680365296,0.1963470319634703,0.1963470319634703,0.8904109589041096,0.8317535545023697,0.9957446808510638,206.0,0.3135464231354642
SEUMLD,OADNet_audio,3,123,cs_mondrian,3.0,0.25,0.05,0.3686262369155884,0.8290853798389435,657,422,235,528,129,129,0,528,71,1,52,5,0.16824644549763032,0.00425531914893617,0.8036529680365296,0.1963470319634703,0.1963470319634703,0.8904109589041096,0.8317535545023697,0.9957446808510638,250.6,0.38143074581430747
SEUMLD,OADNet_audio,3,123,cs_mondrian,3.0,0.25,0.1,0.3686262369155884,0.8290853798389435,657,422,235,528,129,129,0,528,71,1,52,5,0.16824644549763032,0.00425531914893617,0.8036529680365296,0.1963470319634703,0.1963470319634703,0.8904109589041096,0.8317535545023697,0.9957446808510638,295.2,0.44931506849315067
SEUMLD,OADNet_audio,3,123,cs_mondrian,3.0,0.25,0.2,0.3686262369155884,0.8290853798389435,657,422,235,528,129,129,0,528,71,1,52,5,0.16824644549763032,0.00425531914893617,0.8036529680365296,0.1963470319634703,0.1963470319634703,0.8904109589041096,0.8317535545023697,0.9957446808510638,384.4,0.5850837138508371
SEUMLD,OADNet_audio,3,123,singh_eps0,3.0,0.25,0.0,0.3686262369155884,0.8036274760961533,657,422,235,514,143,143,0,514,71,6,52,14,0.16824644549763032,0.02553191489361702,0.7823439878234398,0.2176560121765601,0.2176560121765601,0.882800608828006,0.8317535545023697,0.9744680851063829,217.5,0.3310502283105023
SEUMLD,OADNet_audio,3,123,singh,3.0,0.25,0.05,0.3686262369155884,0.8036274760961533,657,422,235,514,143,143,0,514,71,6,52,14,0.16824644549763032,0.02553191489361702,0.7823439878234398,0.2176560121765601,0.2176560121765601,0.882800608828006,0.8317535545023697,0.9744680851063829,260.9,0.39710806697108064
SEUMLD,OADNet_audio,3,123,singh,3.0,0.25,0.1,0.3686262369155884,0.8036274760961533,657,422,235,514,143,143,0,514,71,6,52,14,0.16824644549763032,0.02553191489361702,0.7823439878234398,0.2176560121765601,0.2176560121765601,0.882800608828006,0.8317535545023697,0.9744680851063829,304.3,0.46316590563165905
SEUMLD,OADNet_audio,3,123,singh,3.0,0.25,0.2,0.3686262369155884,0.8036274760961533,657,422,235,514,143,143,0,514,71,6,52,14,0.16824644549763032,0.02553191489361702,0.7823439878234398,0.2176560121765601,0.2176560121765601,0.882800608828006,0.8317535545023697,0.9744680851063829,391.1,0.5952815829528159
SEUMLD,OADNet_audio,3,123,bayes_tau,3.0,0.25,0.0,0.25,0.25,657,422,235,0,657,657,0,0,348,24,211,74,0.8246445497630331,0.10212765957446808,0.0,1.0,1.0,,,,420.0,0.639269406392694
SEUMLD,OADNet_audio,3,123,cs_mondrian,3.0,0.5,0.0,0.3686262369155884,0.8290853798389435,657,422,235,528,129,129,0,528,71,1,52,5,0.16824644549763032,0.00425531914893617,0.8036529680365296,0.1963470319634703,0.1963470319634703,0.8904109589041096,0.8317535545023697,0.9957446808510638,338.0,0.5144596651445966
SEUMLD,OADNet_audio,3,123,cs_mondrian,3.0,0.5,0.05,0.3686262369155884,0.8290853798389435,657,422,235,528,129,129,0,528,71,1,52,5,0.16824644549763032,0.00425531914893617,0.8036529680365296,0.1963470319634703,0.1963470319634703,0.8904109589041096,0.8317535545023697,0.9957446808510638,382.6,0.5823439878234399
SEUMLD,OADNet_audio,3,123,cs_mondrian,3.0,0.5,0.1,0.3686262369155884,0.8290853798389435,657,422,235,528,129,129,0,528,71,1,52,5,0.16824644549763032,0.00425531914893617,0.8036529680365296,0.1963470319634703,0.1963470319634703,0.8904109589041096,0.8317535545023697,0.9957446808510638,427.2,0.6502283105022831
SEUMLD,OADNet_audio,3,123,cs_mondrian,3.0,0.5,0.2,0.3686262369155884,0.8290853798389435,657,422,235,528,129,129,0,528,71,1,52,5,0.16824644549763032,0.00425531914893617,0.8036529680365296,0.1963470319634703,0.1963470319634703,0.8904109589041096,0.8317535545023697,0.9957446808510638,516.4,0.7859969558599695
SEUMLD,OADNet_audio,3,123,singh_eps0,3.0,0.5,0.0,0.3686262369155884,0.8036274760961533,657,422,235,514,143,143,0,514,71,6,52,14,0.16824644549763032,0.02553191489361702,0.7823439878234398,0.2176560121765601,0.2176560121765601,0.882800608828006,0.8317535545023697,0.9744680851063829,346.0,0.5266362252663622
SEUMLD,OADNet_audio,3,123,singh,3.0,0.5,0.05,0.3686262369155884,0.8036274760961533,657,422,235,514,143,143,0,514,71,6,52,14,0.16824644549763032,0.02553191489361702,0.7823439878234398,0.2176560121765601,0.2176560121765601,0.882800608828006,0.8317535545023697,0.9744680851063829,389.4,0.5926940639269406
SEUMLD,OADNet_audio,3,123,singh,3.0,0.5,0.1,0.3686262369155884,0.8036274760961533,657,422,235,514,143,143,0,514,71,6,52,14,0.16824644549763032,0.02553191489361702,0.7823439878234398,0.2176560121765601,0.2176560121765601,0.882800608828006,0.8317535545023697,0.9744680851063829,432.8,0.658751902587519
SEUMLD,OADNet_audio,3,123,singh,3.0,0.5,0.2,0.3686262369155884,0.8036274760961533,657,422,235,514,143,143,0,514,71,6,52,14,0.16824644549763032,0.02553191489361702,0.7823439878234398,0.2176560121765601,0.2176560121765601,0.882800608828006,0.8317535545023697,0.9744680851063829,519.6,0.7908675799086758
SEUMLD,OADNet_audio,3,123,bayes_tau,3.0,0.5,0.0,0.25,0.25,657,422,235,0,657,657,0,0,348,24,211,74,0.8246445497630331,0.10212765957446808,0.0,1.0,1.0,,,,420.0,0.639269406392694
SEUMLD,OADNet_audio,3,123,cs_mondrian,3.0,1.0,0.0,0.3686262369155884,0.8290853798389435,657,422,235,528,129,129,0,528,71,1,52,5,0.16824644549763032,0.00425531914893617,0.8036529680365296,0.1963470319634703,0.1963470319634703,0.8904109589041096,0.8317535545023697,0.9957446808510638,602.0,0.9162861491628614
SEUMLD,OADNet_audio,3,123,cs_mondrian,3.0,1.0,0.05,0.3686262369155884,0.8290853798389435,657,422,235,528,129,129,0,528,71,1,52,5,0.16824644549763032,0.00425531914893617,0.8036529680365296,0.1963470319634703,0.1963470319634703,0.8904109589041096,0.8317535545023697,0.9957446808510638,646.6,0.9841704718417048
SEUMLD,OADNet_audio,3,123,cs_mondrian,3.0,1.0,0.1,0.3686262369155884,0.8290853798389435,657,422,235,528,129,129,0,528,71,1,52,5,0.16824644549763032,0.00425531914893617,0.8036529680365296,0.1963470319634703,0.1963470319634703,0.8904109589041096,0.8317535545023697,0.9957446808510638,691.2,1.052054794520548
SEUMLD,OADNet_audio,3,123,cs_mondrian,3.0,1.0,0.2,0.3686262369155884,0.8290853798389435,657,422,235,528,129,129,0,528,71,1,52,5,0.16824644549763032,0.00425531914893617,0.8036529680365296,0.1963470319634703,0.1963470319634703,0.8904109589041096,0.8317535545023697,0.9957446808510638,780.4,1.1878234398782344
SEUMLD,OADNet_audio,3,123,singh_eps0,3.0,1.0,0.0,0.3686262369155884,0.8036274760961533,657,422,235,514,143,143,0,514,71,6,52,14,0.16824644549763032,0.02553191489361702,0.7823439878234398,0.2176560121765601,0.2176560121765601,0.882800608828006,0.8317535545023697,0.9744680851063829,603.0,0.9178082191780822
SEUMLD,OADNet_audio,3,123,singh,3.0,1.0,0.05,0.3686262369155884,0.8036274760961533,657,422,235,514,143,143,0,514,71,6,52,14,0.16824644549763032,0.02553191489361702,0.7823439878234398,0.2176560121765601,0.2176560121765601,0.882800608828006,0.8317535545023697,0.9744680851063829,646.4,0.9838660578386605
SEUMLD,OADNet_audio,3,123,singh,3.0,1.0,0.1,0.3686262369155884,0.8036274760961533,657,422,235,514,143,143,0,514,71,6,52,14,0.16824644549763032,0.02553191489361702,0.7823439878234398,0.2176560121765601,0.2176560121765601,0.882800608828006,0.8317535545023697,0.9744680851063829,689.8,1.049923896499239
SEUMLD,OADNet_audio,3,123,singh,3.0,1.0,0.2,0.3686262369155884,0.8036274760961533,657,422,235,514,143,143,0,514,71,6,52,14,0.16824644549763032,0.02553191489361702,0.7823439878234398,0.2176560121765601,0.2176560121765601,0.882800608828006,0.8317535545023697,0.9744680851063829,776.6,1.1820395738203957
SEUMLD,OADNet_audio,3,123,bayes_tau,3.0,1.0,0.0,0.25,0.25,657,422,235,0,657,657,0,0,348,24,211,74,0.8246445497630331,0.10212765957446808,0.0,1.0,1.0,,,,420.0,0.639269406392694
