dataset,config,fold,seed,cost_ratio,C_rev,baseline,target_type,target_value,achieved_cs,achieved_bl,cost_cs,cost_bl,delta_cost
MDPE,OADNet_audio,2,2024,2.0,0.25,mondrian,reject_rate,0.7,0.7291220556745182,0.6937901498929336,0.3428800856531049,0.3490364025695932,-0.006156316916488269
MDPE,OADNet_audio,2,2024,2.0,0.5,mondrian,reject_rate,0.7,0.7291220556745182,0.6937901498929336,0.5251605995717344,0.5224839400428265,0.002676659528907943
MDPE,OADNet_audio,2,2024,2.0,1.0,mondrian,reject_rate,0.7,0.7291220556745182,0.6937901498929336,0.8897216274089935,0.8693790149892934,0.020342612419700146
MDPE,OADNet_audio,2,2024,2.0,2.0,mondrian,reject_rate,0.7,0.7291220556745182,0.6937901498929336,1.6188436830835118,1.563169164882227,0.05567451820128477
MDPE,OADNet_audio,4,2024,1.0,0.25,mondrian,reject_rate,0.7,0.6871569703622393,0.6871569703622393,0.31009879253567507,0.31009879253567507,0.0
MDPE,OADNet_audio,4,2024,1.0,0.5,mondrian,reject_rate,0.7,0.6871569703622393,0.6871569703622393,0.4818880351262349,0.4818880351262349,0.0
MDPE,OADNet_audio,4,2024,1.0,1.0,mondrian,reject_rate,0.7,0.6871569703622393,0.6871569703622393,0.8254665203073546,0.8254665203073546,0.0
MDPE,OADNet_audio,4,2024,1.0,2.0,mondrian,reject_rate,0.7,0.6871569703622393,0.6871569703622393,1.512623490669594,1.512623490669594,0.0
SEUMLD,OADNet_audio,0,2026,1.0,0.25,mondrian,reject_rate,0.8,0.7840735068912711,0.7840735068912711,0.30781010719754975,0.30781010719754975,0.0
SEUMLD,OADNet_audio,0,2026,1.0,0.5,mondrian,reject_rate,0.8,0.7840735068912711,0.7840735068912711,0.5038284839203675,0.5038284839203675,0.0
SEUMLD,OADNet_audio,0,2026,1.0,1.0,mondrian,reject_rate,0.8,0.7840735068912711,0.7840735068912711,0.8958652373660031,0.8958652373660031,0.0
SEUMLD,OADNet_audio,0,2026,1.0,2.0,mondrian,reject_rate,0.8,0.7840735068912711,0.7840735068912711,1.6799387442572742,1.6799387442572742,0.0
SEUMLD,OADNet_audio,1,7,1.0,0.25,mondrian,reject_rate,0.8,0.8251968503937008,0.8251968503937008,0.25984251968503935,0.25984251968503935,0.0
SEUMLD,OADNet_audio,1,7,1.0,0.5,mondrian,reject_rate,0.8,0.8251968503937008,0.8251968503937008,0.46614173228346456,0.46614173228346456,0.0
SEUMLD,OADNet_audio,1,7,1.0,1.0,mondrian,reject_rate,0.8,0.8251968503937008,0.8251968503937008,0.878740157480315,0.878740157480315,0.0
SEUMLD,OADNet_audio,1,7,1.0,2.0,mondrian,reject_rate,0.8,0.8251968503937008,0.8251968503937008,1.7039370078740157,1.7039370078740157,0.0
