dataset,config,cost_ratio,C_rev,n_independent_subjects,mean_delta,median_delta,bootstrap_ci_2.5,bootstrap_ci_97.5,permutation_p,wilcoxon_p,sign_p,n_positive,n_negative,n_zero,cs_wins_pct
MDPE,OADNet_audio,1.0,2.0,191,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,191,0.0
MDPE,OADNet_audio,2.0,0.25,191,-0.01621708779118294,-5.551115123125783e-18,-0.020394247002807495,-0.012257616283481295,9.999000099990002e-05,1.5861723360737448e-12,0.0005356762894966124,53,96,42,50.26178010471204
MDPE,OADNet_audio,2.0,0.5,191,-0.004495788754837242,0.0,-0.007611612223992716,-0.0014416638212307465,0.0040995900409959,0.03965689889343604,0.8672499070976046,73,70,48,36.64921465968586
MDPE,OADNet_audio,2.0,1.0,191,0.01894680931785416,0.00833333333333337,0.015287483875863116,0.022786250853630778,9.999000099990002e-05,8.659294774864323e-19,1.3966293565787205e-17,118,21,52,10.99476439790576
MDPE,OADNet_audio,2.0,2.0,191,0.06583200546323698,0.05,0.056142347674330385,0.07647772972152667,9.999000099990002e-05,6.772478040572684e-26,1.1210387714598537e-44,147,0,44,0.0
MDPE,OADNet_audio,3.0,0.25,191,-0.04357216025495106,-0.01666666666666667,-0.05306375199180515,-0.03465452851126793,9.999000099990002e-05,5.813420815710569e-18,5.908093219102377e-08,43,110,38,57.59162303664922
MDPE,OADNet_audio,3.0,0.5,191,-0.02702595037559754,0.0,-0.03442432088929357,-0.020119698004400943,9.999000099990002e-05,8.976898501321109e-11,0.0032594073594768742,57,94,40,49.21465968586388
MDPE,OADNet_audio,3.0,1.0,191,0.006066469383109494,0.0,0.0012576352530541013,0.01090560740572122,0.016298370162983702,0.0060617657812819786,0.0038645812171462044,92,56,43,29.31937172774869
MDPE,OADNet_audio,3.0,2.0,191,0.07225130890052356,0.05,0.06195438766218984,0.08308672888686547,9.999000099990002e-05,2.709432490047144e-26,7.692946050018267e-39,148,4,39,2.094240837696335
MDPE,OADNet_audio,5.0,0.25,191,-0.10235886637832918,-0.03333333333333334,-0.1229186821837772,-0.08252085467410275,9.999000099990002e-05,4.0304253830271566e-20,5.607104085257025e-09,41,113,37,59.16230366492147
MDPE,OADNet_audio,5.0,0.5,191,-0.08201305106608998,-0.025,-0.09994942237650808,-0.06508832707337431,9.999000099990002e-05,6.446130525395854e-17,6.327895315902094e-07,46,108,37,56.54450261780105
MDPE,OADNet_audio,5.0,1.0,191,-0.04132142044161165,0.0,-0.05403506525533045,-0.028922054025343365,9.999000099990002e-05,1.8758713716944269e-07,0.06002721569726564,63,87,41,45.54973821989529
MDPE,OADNet_audio,5.0,2.0,191,0.04006184080734502,0.025,0.03073426473935808,0.049892300250398355,9.999000099990002e-05,8.41895724479847e-16,1.534902435956959e-13,118,30,43,15.706806282722512
MDPE,OADNet_audio,10.0,0.25,191,-0.25110450337658397,-0.08125,-0.3010044270240534,-0.2040760158206237,9.999000099990002e-05,1.6085343250270463e-20,1.9815804011750467e-09,40,114,37,59.68586387434554
MDPE,OADNet_audio,10.0,0.5,191,-0.22798486228090145,-0.07083333333333333,-0.274433260300478,-0.18417745561119966,9.999000099990002e-05,2.4739432107198343e-20,1.9815804011750467e-09,40,114,37,59.68586387434554
MDPE,OADNet_audio,10.0,1.0,191,-0.1817455800895364,-0.04166666666666665,-0.2230098072691403,-0.14442071667046058,9.999000099990002e-05,1.432524071790513e-16,3.7243110321213415e-07,45,108,38,56.54450261780105
MDPE,OADNet_audio,10.0,2.0,191,-0.08926701570680627,0.0,-0.1174523863722589,-0.06302052507777525,9.999000099990002e-05,1.6422056482017245e-07,0.07304915944161802,64,87,40,45.54973821989529
