dataset,config,fold,seed,method,cost_ratio,C_rev,alpha_truth,alpha_lie,q_truth,q_lie,n_test,n_truth,n_lie,n_reject,n_accept,n_singleton,n_empty,n_ambiguous,n_fp,n_fn,n_tp,n_tn,fp_rate,fn_rate,reject_rate,empty_set_rate,decision_coverage,acceptance_rate,label_coverage,label_coverage_truth,label_coverage_lie,total_cost,expected_cost
MDPE,OADNet_text,1,7,split_conformal,2.0,0.25,0.1,0.1,0.8086545318365097,0.8086545318365097,912,570,342,570,342,342,0,570,13,73,15,241,0.02280701754385965,0.2134502923976608,0.625,0.0,0.375,0.375,0.9057017543859649,0.9771929824561404,0.7865497076023392,301.5,0.3305921052631579
MDPE,OADNet_text,1,7,split_conformal,2.0,0.5,0.1,0.1,0.8086545318365097,0.8086545318365097,912,570,342,570,342,342,0,570,13,73,15,241,0.02280701754385965,0.2134502923976608,0.625,0.0,0.375,0.375,0.9057017543859649,0.9771929824561404,0.7865497076023392,444.0,0.4868421052631579
MDPE,OADNet_text,1,7,split_conformal,2.0,1.0,0.1,0.1,0.8086545318365097,0.8086545318365097,912,570,342,570,342,342,0,570,13,73,15,241,0.02280701754385965,0.2134502923976608,0.625,0.0,0.375,0.375,0.9057017543859649,0.9771929824561404,0.7865497076023392,729.0,0.7993421052631579
MDPE,OADNet_text,1,7,split_conformal,2.0,2.0,0.1,0.1,0.8086545318365097,0.8086545318365097,912,570,342,570,342,342,0,570,13,73,15,241,0.02280701754385965,0.2134502923976608,0.625,0.0,0.375,0.375,0.9057017543859649,0.9771929824561404,0.7865497076023392,1299.0,1.424342105263158
MDPE,OADNet_text,1,7,split_conformal,3.0,0.25,0.1,0.1,0.8086545318365097,0.8086545318365097,912,570,342,570,342,342,0,570,13,73,15,241,0.02280701754385965,0.2134502923976608,0.625,0.0,0.375,0.375,0.9057017543859649,0.9771929824561404,0.7865497076023392,374.5,0.4106359649122807
MDPE,OADNet_text,1,7,split_conformal,3.0,0.5,0.1,0.1,0.8086545318365097,0.8086545318365097,912,570,342,570,342,342,0,570,13,73,15,241,0.02280701754385965,0.2134502923976608,0.625,0.0,0.375,0.375,0.9057017543859649,0.9771929824561404,0.7865497076023392,517.0,0.5668859649122807
MDPE,OADNet_text,1,7,split_conformal,3.0,1.0,0.1,0.1,0.8086545318365097,0.8086545318365097,912,570,342,570,342,342,0,570,13,73,15,241,0.02280701754385965,0.2134502923976608,0.625,0.0,0.375,0.375,0.9057017543859649,0.9771929824561404,0.7865497076023392,802.0,0.8793859649122807
MDPE,OADNet_text,1,7,split_conformal,3.0,2.0,0.1,0.1,0.8086545318365097,0.8086545318365097,912,570,342,570,342,342,0,570,13,73,15,241,0.02280701754385965,0.2134502923976608,0.625,0.0,0.375,0.375,0.9057017543859649,0.9771929824561404,0.7865497076023392,1372.0,1.5043859649122806
MDPE,OADNet_text,1,7,split_conformal,5.0,0.25,0.1,0.1,0.8086545318365097,0.8086545318365097,912,570,342,570,342,342,0,570,13,73,15,241,0.02280701754385965,0.2134502923976608,0.625,0.0,0.375,0.375,0.9057017543859649,0.9771929824561404,0.7865497076023392,520.5,0.5707236842105263
MDPE,OADNet_text,1,7,split_conformal,5.0,0.5,0.1,0.1,0.8086545318365097,0.8086545318365097,912,570,342,570,342,342,0,570,13,73,15,241,0.02280701754385965,0.2134502923976608,0.625,0.0,0.375,0.375,0.9057017543859649,0.9771929824561404,0.7865497076023392,663.0,0.7269736842105263
MDPE,OADNet_text,1,7,split_conformal,5.0,1.0,0.1,0.1,0.8086545318365097,0.8086545318365097,912,570,342,570,342,342,0,570,13,73,15,241,0.02280701754385965,0.2134502923976608,0.625,0.0,0.375,0.375,0.9057017543859649,0.9771929824561404,0.7865497076023392,948.0,1.0394736842105263
MDPE,OADNet_text,1,7,split_conformal,5.0,2.0,0.1,0.1,0.8086545318365097,0.8086545318365097,912,570,342,570,342,342,0,570,13,73,15,241,0.02280701754385965,0.2134502923976608,0.625,0.0,0.375,0.375,0.9057017543859649,0.9771929824561404,0.7865497076023392,1518.0,1.6644736842105263
MDPE,OADNet_text,1,7,split_conformal,10.0,0.25,0.1,0.1,0.8086545318365097,0.8086545318365097,912,570,342,570,342,342,0,570,13,73,15,241,0.02280701754385965,0.2134502923976608,0.625,0.0,0.375,0.375,0.9057017543859649,0.9771929824561404,0.7865497076023392,885.5,0.9709429824561403
MDPE,OADNet_text,1,7,split_conformal,10.0,0.5,0.1,0.1,0.8086545318365097,0.8086545318365097,912,570,342,570,342,342,0,570,13,73,15,241,0.02280701754385965,0.2134502923976608,0.625,0.0,0.375,0.375,0.9057017543859649,0.9771929824561404,0.7865497076023392,1028.0,1.1271929824561404
MDPE,OADNet_text,1,7,split_conformal,10.0,1.0,0.1,0.1,0.8086545318365097,0.8086545318365097,912,570,342,570,342,342,0,570,13,73,15,241,0.02280701754385965,0.2134502923976608,0.625,0.0,0.375,0.375,0.9057017543859649,0.9771929824561404,0.7865497076023392,1313.0,1.4396929824561404
MDPE,OADNet_text,1,7,split_conformal,10.0,2.0,0.1,0.1,0.8086545318365097,0.8086545318365097,912,570,342,570,342,342,0,570,13,73,15,241,0.02280701754385965,0.2134502923976608,0.625,0.0,0.375,0.375,0.9057017543859649,0.9771929824561404,0.7865497076023392,1883.0,2.0646929824561404
MDPE,OADNet_text,1,7,mondrian,1.0,0.25,0.1,0.1,0.5750055313110352,0.9018494933843613,912,570,342,593,319,319,0,593,74,26,74,145,0.12982456140350876,0.07602339181286549,0.6502192982456141,0.0,0.34978070175438597,0.34978070175438597,0.8903508771929824,0.8701754385964913,0.9239766081871345,248.25,0.2722039473684211
MDPE,OADNet_text,1,7,mondrian,1.0,0.5,0.1,0.1,0.5750055313110352,0.9018494933843613,912,570,342,593,319,319,0,593,74,26,74,145,0.12982456140350876,0.07602339181286549,0.6502192982456141,0.0,0.34978070175438597,0.34978070175438597,0.8903508771929824,0.8701754385964913,0.9239766081871345,396.5,0.43475877192982454
MDPE,OADNet_text,1,7,mondrian,1.0,1.0,0.1,0.1,0.5750055313110352,0.9018494933843613,912,570,342,593,319,319,0,593,74,26,74,145,0.12982456140350876,0.07602339181286549,0.6502192982456141,0.0,0.34978070175438597,0.34978070175438597,0.8903508771929824,0.8701754385964913,0.9239766081871345,693.0,0.7598684210526315
MDPE,OADNet_text,1,7,mondrian,1.0,2.0,0.1,0.1,0.5750055313110352,0.9018494933843613,912,570,342,593,319,319,0,593,74,26,74,145,0.12982456140350876,0.07602339181286549,0.6502192982456141,0.0,0.34978070175438597,0.34978070175438597,0.8903508771929824,0.8701754385964913,0.9239766081871345,1286.0,1.4100877192982457
MDPE,OADNet_text,1,7,mondrian,2.0,0.25,0.1,0.1,0.5750055313110352,0.9018494933843613,912,570,342,593,319,319,0,593,74,26,74,145,0.12982456140350876,0.07602339181286549,0.6502192982456141,0.0,0.34978070175438597,0.34978070175438597,0.8903508771929824,0.8701754385964913,0.9239766081871345,274.25,0.3007127192982456
MDPE,OADNet_text,1,7,mondrian,2.0,0.5,0.1,0.1,0.5750055313110352,0.9018494933843613,912,570,342,593,319,319,0,593,74,26,74,145,0.12982456140350876,0.07602339181286549,0.6502192982456141,0.0,0.34978070175438597,0.34978070175438597,0.8903508771929824,0.8701754385964913,0.9239766081871345,422.5,0.46326754385964913
MDPE,OADNet_text,1,7,mondrian,2.0,1.0,0.1,0.1,0.5750055313110352,0.9018494933843613,912,570,342,593,319,319,0,593,74,26,74,145,0.12982456140350876,0.07602339181286549,0.6502192982456141,0.0,0.34978070175438597,0.34978070175438597,0.8903508771929824,0.8701754385964913,0.9239766081871345,719.0,0.7883771929824561
MDPE,OADNet_text,1,7,mondrian,2.0,2.0,0.1,0.1,0.5750055313110352,0.9018494933843613,912,570,342,593,319,319,0,593,74,26,74,145,0.12982456140350876,0.07602339181286549,0.6502192982456141,0.0,0.34978070175438597,0.34978070175438597,0.8903508771929824,0.8701754385964913,0.9239766081871345,1312.0,1.4385964912280702
