source,r,B,comparison,family,n_units,delta_cost,delta_cost_ci_low,delta_cost_ci_high,sign_flip_p,wilcoxon_p,delta_reject,delta_reject_ci_low,delta_reject_ci_high,delta_reject_sign_flip_p,delta_fp_per_sample,delta_fn_per_sample,excluded_degenerate_units,sign_flip_p_holm
MDPE_OADNet_audio,3.0,0.6,cs_vs_match,secondary,191,-0.048750853630776254,-0.05900865012519919,-0.03861230461340011,9.999000099990002e-05,9.615156739301072e-14,0.015860459822444797,-0.0024208494574702163,0.03402202367402686,0.0897910208979102,0.0552754381971318,-0.03731884057971015,0,
MDPE_OADNet_audio,3.0,0.7,cs_vs_uni,primary,191,-0.036416837392821914,-0.04532511476591547,-0.027998046134001062,9.999000099990002e-05,3.7681323510173886e-11,0.017617042264208217,0.0021904165718188134,0.03373387586311557,0.026997300269973004,0.03767926246300933,-0.027634873662645117,0,0.00039996000399960006
MDPE_OADNet_audio,3.0,0.7,cs_vs_free2d,secondary,191,-0.02370817209196449,-0.03136820415054253,-0.016530963085211327,9.999000099990002e-05,3.3096901498839716e-06,-0.00549358828439183,-0.01933587525608923,0.00882104105015555,0.45285471452854714,0.03378480916609758,-0.01824872903862205,0,
MDPE_OADNet_audio,3.0,0.7,cs_vs_match,secondary,191,-0.04788868654677896,-0.057814942332498676,-0.03825574778056,9.999000099990002e-05,1.5779351055860983e-14,0.052098034752257376,0.03687684953334851,0.06813254040519007,9.999000099990002e-05,0.028600424918430838,-0.034179376280446164,0,
MDPE_OADNet_audio,3.0,0.8,cs_vs_uni,secondary,191,-0.013012178465740952,-0.019127304803095824,-0.007415206009560668,0.00019998000199980003,0.01365477393689003,-0.021236436755444274,-0.034003338644813724,-0.008114946126413239,0.0017998200179982,0.035182866681842326,-0.012525608923287046,0,
MDPE_OADNet_audio,3.0,0.8,cs_vs_free2d,secondary,191,-0.005390204112603383,-0.010433668146293347,-0.0006939306851809807,0.0287971202879712,0.7433665959566425,-0.04440966689430154,-0.05598120115335003,-0.0325079197966462,9.999000099990002e-05,0.0406366188633432,-0.00794066317626527,0,
MDPE_OADNet_audio,3.0,0.8,cs_vs_match,secondary,191,-0.01807136353289324,-0.024755434782608682,-0.011745011002352231,9.999000099990002e-05,0.00039071510685640223,0.004698763183853097,-0.007309166097579488,0.01675473290841489,0.44415558444155584,0.02606229607709234,-0.015494347067304043,0,
MDPE_OADNet_audio,2.0,0.6,cs_vs_uni,secondary,191,-0.008196752409135748,-0.012628068328401248,-0.0038261628348129698,0.00019998000199980003,0.001990527258165775,0.0037332119280673827,-0.01003552052507777,0.01713146862432658,0.5984401559844016,0.040649897564306856,-0.025356627968738145,0,
MDPE_OADNet_audio,2.0,0.7,cs_vs_uni,secondary,191,-0.007207489187343493,-0.010982434175582357,-0.0036914788678958903,9.999000099990002e-05,0.004345003416328,0.015097882995674935,0.004490050459063666,0.02595796342666362,0.0084991500849915,0.02410084224903255,-0.019428636467106762,0,
MDPE_OADNet_audio,2.0,0.8,cs_vs_uni,secondary,191,-0.0005064875938993775,-0.0031394642992639676,0.002085799377798017,0.7086291370862914,0.46136716243067677,-0.015596782760452236,-0.02545531717125732,-0.005817730859701045,0.0023997600239976003,0.025187798770771683,-0.008947947492222476,0,
MDPE_OADNet_audio,5.0,0.6,cs_vs_uni,secondary,191,-0.15403482813567038,-0.1789153435389635,-0.129556562523712,9.999000099990002e-05,1.7328708659600429e-22,0.038193337886030805,0.017184061764929058,0.060058046892783976,0.0006999300069993001,0.06170232946354049,-0.04696676530844526,0,
MDPE_OADNet_audio,5.0,0.7,cs_vs_uni,secondary,191,-0.1017641702708855,-0.12200389824721147,-0.08249229361104789,9.999000099990002e-05,7.916224850028091e-17,-0.005341831701950065,-0.02532480651035738,0.015426530844525384,0.6116388361163884,0.06045982244479855,-0.0319106153729418,0,
MDPE_OADNet_audio,5.0,0.8,cs_vs_uni,secondary,191,-0.0530218529478716,-0.067816127930799,-0.038681994081493296,9.999000099990002e-05,2.1715835241964922e-08,-0.02123453979816375,-0.03696240230670006,-0.005419369830791424,0.0103989601039896,0.04509257151528947,-0.01749943091281584,0,
MDPE_OADNet_audio,10.0,0.6,cs_vs_uni,secondary,191,-0.4438936945139995,-0.5061663916078611,-0.3826007758555277,9.999000099990002e-05,3.0410168695778623e-26,0.06172698990818727,0.03779658927080963,0.08524987669777674,9.999000099990002e-05,0.06170232946354049,-0.05364595189316337,0,
MDPE_OADNet_audio,10.0,0.7,cs_vs_uni,secondary,191,-0.3122467562030503,-0.3637082432278625,-0.26097031736095305,9.999000099990002e-05,7.290335563587513e-23,-0.005220426435996659,-0.028447909553076856,0.01799311404507171,0.6616338366163383,0.0737005842628424,-0.038333712724789436,0,
MDPE_OADNet_audio,10.0,0.8,cs_vs_uni,secondary,191,-0.18474751498596254,-0.22610877153046513,-0.1470329454055695,9.999000099990002e-05,1.3121640702615864e-13,-0.012923969952196688,-0.030689117156081653,0.005311764929053786,0.16278372162783722,0.05137908794293952,-0.02296646179528037,0,
MDPE_OADNet_text,3.0,0.6,cs_vs_uni,secondary,191,-0.03639976477729722,-0.04497600349040139,-0.028322164997344274,9.999000099990002e-05,5.244714514295331e-14,0.01575423021473556,0.006195367630320962,0.025533139843690718,0.0016998300169983002,0.03928788223689202,-0.027854920707185673,0,
MDPE_OADNet_text,3.0,0.6,cs_vs_free2d,secondary,191,-0.024147317702405354,-0.029406631762652707,-0.019068167159875558,9.999000099990002e-05,4.721959202832829e-15,-0.023061309659306473,-0.0317721374914637,-0.014471318005918516,9.999000099990002e-05,0.042789665376735724,-0.018468776083162605,0,
