source,r,B,arm,n_runs,mean_cost,mean_reject_rate,mean_fp_per_sample,mean_fn_per_sample,budget_violation_rate,selection_feasible_rate,degenerate_run_rate,mode_alpha_truth,mode_alpha_lie,mean_cost_decomp_residual
OpenDeception,3.0,0.6,free2d,25,0.5755687104977987,0.5629574943528679,0.08622373190693836,0.06928874380480879,0.12,1.0,0.0,0.2,0.1,0.0
OpenDeception,3.0,0.6,match,25,0.583686959449372,0.5602406468051444,0.08053913621677868,0.07434249994334038,0.16,0.72,0.0,0.15,0.15,0.0
OpenDeception,3.0,0.6,uni,25,0.5950591253082796,0.5251063620840339,0.08766256736201763,0.08161445896808166,0.12,1.0,0.0,0.15,0.15,0.0
OpenDeception,3.0,0.7,cs,25,0.5057795233350869,0.6223606029198743,0.10172382820493571,0.030958464556738004,0.08,1.0,0.0,0.2,0.06666666666666667,0.0
OpenDeception,3.0,0.7,free2d,25,0.5548119936874165,0.6667547091779743,0.05869405070560757,0.05424686279760729,0.2,1.0,0.0,0.15,0.15,0.0
OpenDeception,3.0,0.7,match,25,0.5768923060880173,0.5843002090202415,0.07470889150540577,0.07001110335749691,0.08,1.0,0.0,0.15,0.15,0.0
OpenDeception,3.0,0.7,uni,25,0.5692290157091136,0.6051689034906577,0.07113573013255688,0.06516961127707593,0.12,1.0,0.0,0.15,0.15,0.0
OpenDeception,3.0,0.8,cs,25,0.49671256701916733,0.7191110350194646,0.07208559040120954,0.02169048636940853,0.12,1.0,0.0,0.15,0.049999999999999996,0.0
OpenDeception,3.0,0.8,free2d,25,0.5260226065202367,0.7652803208470281,0.04139359171416259,0.03399628479418672,0.2,1.0,0.0,0.075,0.075,0.0
OpenDeception,3.0,0.8,match,25,0.5438088293878918,0.7044323523074738,0.04985022556081465,0.04724747589111339,0.04,1.0,0.0,0.1,0.1,0.0
OpenDeception,3.0,0.8,uni,25,0.5357987159484704,0.7419816440969914,0.0421299371514806,0.04089265224949799,0.04,1.0,0.0,0.075,0.075,0.0
OpenDeception,5.0,0.6,cs,25,0.5548517928281204,0.5234125358847557,0.14820096139218758,0.02898891269871099,0.08,1.0,0.0,0.3,0.06,0.0
OpenDeception,5.0,0.6,uni,25,0.7582880432444429,0.5251063620840339,0.08766256736201763,0.08161445896808166,0.12,1.0,0.0,0.15,0.15,0.0
OpenDeception,5.0,0.7,cs,25,0.5327793652761469,0.6328837923960379,0.10857016228018793,0.021553461359588025,0.08,1.0,0.0,0.2,0.04,0.0
OpenDeception,5.0,0.7,uni,25,0.6995682382632654,0.6051689034906577,0.07113573013255688,0.06516961127707593,0.12,1.0,0.0,0.15,0.15,0.0
OpenDeception,5.0,0.8,cs,25,0.5144729970136014,0.7272324892496659,0.07649829530304221,0.014871691417145245,0.04,1.0,0.0,0.15,0.03,0.0
OpenDeception,5.0,0.8,uni,25,0.6175840204474664,0.7419816440969914,0.0421299371514806,0.04089265224949799,0.04,1.0,0.0,0.075,0.075,0.0
OpenDeception,10.0,0.6,cs,25,0.581030749661685,0.5482358392666279,0.15491359375965394,0.015199923626871703,0.12,0.88,0.0,0.3,0.03,0.0
OpenDeception,10.0,0.6,uni,25,1.1663603380848513,0.5251063620840339,0.08766256736201763,0.08161445896808166,0.12,1.0,0.0,0.15,0.15,0.0
OpenDeception,10.0,0.7,cs,25,0.5530069028391106,0.6300494107636309,0.12283771319421684,0.011514448426307828,0.08,1.0,0.0,0.25,0.025,0.0
OpenDeception,10.0,0.7,uni,25,1.0254162946486451,0.6051689034906577,0.07113573013255688,0.06516961127707593,0.12,1.0,0.0,0.15,0.15,0.0
OpenDeception,10.0,0.8,cs,25,0.5258581370152414,0.7363616408014689,0.08175232919123428,0.007592498742327261,0.08,1.0,0.0,0.15,0.015,0.0
OpenDeception,10.0,0.8,uni,25,0.8220472816949562,0.7419816440969914,0.0421299371514806,0.04089265224949799,0.04,1.0,0.0,0.075,0.075,0.0
SEUMLD_OADNet_audio,2.0,0.6,cs,25,0.518783705627042,0.6570304364088405,0.13524712855037774,0.027510679436121968,0.64,1.0,0.0,0.25,0.125,0.0
SEUMLD_OADNet_audio,2.0,0.6,uni,25,0.5098810903127686,0.6665753199071256,0.09952459899295564,0.03853441568312515,0.68,1.0,0.0,0.2,0.2,0.0
SEUMLD_OADNet_audio,2.0,0.7,cs,25,0.5111177034150617,0.7330351161183192,0.0982647564732706,0.023167694441315754,0.6,1.0,0.0,0.2,0.1,0.0
SEUMLD_OADNet_audio,2.0,0.7,uni,25,0.5075509085340678,0.7411320217890892,0.07420469795115024,0.0313900998441865,0.64,1.0,0.0,0.15,0.15,0.0
SEUMLD_OADNet_audio,2.0,0.8,cs,25,0.5066731704194936,0.815284930074164,0.06688301780978896,0.016073843786311288,0.6,1.0,0.0,0.15,0.075,0.0
SEUMLD_OADNet_audio,2.0,0.8,uni,25,0.5044597448023498,0.829059480281368,0.04558534071769892,0.022172331971983438,0.64,1.0,0.0,0.075,0.075,0.0
SEUMLD_OADNet_audio,3.0,0.6,cs,25,0.5452383921546453,0.6585041402402028,0.14979811063829085,0.02206273713208432,0.64,1.0,0.0,0.25,0.08333333333333333,0.0
SEUMLD_OADNet_audio,3.0,0.6,free2d,25,0.5466396102704948,0.6981421600894874,0.08735716016193644,0.03673712335460486,0.84,1.0,0.0,0.075,0.1,0.0
SEUMLD_OADNet_audio,3.0,0.6,match,25,0.5572751316122226,0.6215739760514555,0.11564570014268964,0.043614147814601746,0.56,1.0,0.0,0.2,0.2,0.0
SEUMLD_OADNet_audio,3.0,0.6,uni,25,0.5484155059958938,0.6665753199071256,0.09952459899295564,0.03853441568312515,0.68,1.0,0.0,0.2,0.2,0.0
SEUMLD_OADNet_audio,3.0,0.7,cs,25,0.5318131875716532,0.7378929990490383,0.10696670997730148,0.018633326023277455,0.6,1.0,0.0,0.2,0.06666666666666667,0.0
