dataset,config,r,B,feasible,selected_alpha_total,selected_alpha_lie,test_reject,test_expected_cost,test_fn,test_label_coverage_lie
MDPE,OADNet_audio,3.0,0.5,False,0.3,0.09999999999999999,0.5625,0.5575657894736842,0.07017543859649122,0.9298245614035088
MDPE,OADNet_audio,3.0,0.6,True,0.3,0.09999999999999999,0.5625,0.5575657894736842,0.07017543859649122,0.9298245614035088
MDPE,OADNet_audio,3.0,0.7,True,0.2,0.06666666666666667,0.6973684210526315,0.5449561403508771,0.04678362573099415,0.9532163742690059
MDPE,OADNet_audio,3.0,0.8,True,0.15,0.049999999999999996,0.7587719298245614,0.5307017543859649,0.038011695906432746,0.9619883040935673
MDPE,OADNet_audio,3.0,0.5,True,0.3,0.09999999999999999,0.7467105263157895,0.5279605263157895,0.02631578947368421,0.9736842105263158
MDPE,OADNet_audio,3.0,0.6,True,0.25,0.08333333333333333,0.8442982456140351,0.5208333333333334,0.023391812865497075,0.9766081871345029
MDPE,OADNet_audio,3.0,0.7,True,0.2,0.06666666666666667,0.9254385964912281,0.5076754385964912,0.02046783625730994,0.97953216374269
MDPE,OADNet_audio,3.0,0.8,True,0.15,0.049999999999999996,0.9703947368421053,0.5060307017543859,0.014619883040935672,0.9853801169590644
MDPE,OADNet_audio,3.0,0.5,False,0.3,0.09999999999999999,0.6480263157894737,0.6112938596491229,0.1608187134502924,0.8391812865497076
MDPE,OADNet_audio,3.0,0.6,True,0.3,0.09999999999999999,0.6480263157894737,0.6112938596491229,0.1608187134502924,0.8391812865497076
MDPE,OADNet_audio,3.0,0.7,True,0.25,0.08333333333333333,0.6918859649122807,0.600328947368421,0.14912280701754385,0.8508771929824561
MDPE,OADNet_audio,3.0,0.8,True,0.15,0.049999999999999996,0.7675438596491229,0.5877192982456141,0.12573099415204678,0.8742690058479532
MDPE,OADNet_audio,3.0,0.5,False,0.3,0.09999999999999999,0.5460385438972163,0.5770877944325482,0.05128205128205128,0.9487179487179487
MDPE,OADNet_audio,3.0,0.6,True,0.3,0.09999999999999999,0.5460385438972163,0.5770877944325482,0.05128205128205128,0.9487179487179487
MDPE,OADNet_audio,3.0,0.7,True,0.25,0.08333333333333333,0.5952890792291221,0.5738758029978587,0.05128205128205128,0.9487179487179487
MDPE,OADNet_audio,3.0,0.8,True,0.2,0.06666666666666667,0.6434689507494646,0.5583511777301927,0.03418803418803419,0.9658119658119658
MDPE,OADNet_audio,3.0,0.5,True,0.3,0.09999999999999999,0.4657387580299786,0.5808351177730193,0.07977207977207977,0.9202279202279202
MDPE,OADNet_audio,3.0,0.6,True,0.25,0.08333333333333333,0.5492505353319058,0.5594218415417559,0.06552706552706553,0.9344729344729344
MDPE,OADNet_audio,3.0,0.7,True,0.2,0.06666666666666667,0.632762312633833,0.5551391862955032,0.06552706552706553,0.9344729344729344
MDPE,OADNet_audio,3.0,0.8,True,0.15,0.049999999999999996,0.7441113490364025,0.5294432548179872,0.05413105413105413,0.9458689458689459
MDPE,OADNet_audio,3.0,0.5,False,0.3,0.09999999999999999,0.5770877944325482,0.5754817987152034,0.11396011396011396,0.886039886039886
MDPE,OADNet_audio,3.0,0.6,True,0.25,0.08333333333333333,0.645610278372591,0.5690578158458244,0.10541310541310542,0.8945868945868946
MDPE,OADNet_audio,3.0,0.7,True,0.2,0.06666666666666667,0.6970021413276232,0.5519271948608137,0.08547008547008547,0.9145299145299145
MDPE,OADNet_audio,3.0,0.8,True,0.15,0.049999999999999996,0.7580299785867237,0.5438972162740899,0.07692307692307693,0.9230769230769231
MDPE,OADNet_audio,3.0,0.5,False,0.3,0.09999999999999999,0.5449678800856531,0.5947537473233405,0.1282051282051282,0.8717948717948718
MDPE,OADNet_audio,3.0,0.6,True,0.3,0.09999999999999999,0.5449678800856531,0.5947537473233405,0.1282051282051282,0.8717948717948718
MDPE,OADNet_audio,3.0,0.7,True,0.2,0.06666666666666667,0.6359743040685225,0.5770877944325482,0.11396011396011396,0.886039886039886
