dataset,config,fold,seed,r,B,feasible,selected_alpha_total,selected_alpha_lie,test_q_truth,test_q_lie,a,alpha_truth,alpha_lie,sel_reject,sel_fn,sel_fp,sel_expected_cost,sel_q_truth,sel_q_lie,selected
SEUMLD,OADNet_text,0,123,3.0,0.7,True,0.3,0.09999999999999999,0.3932753801345825,0.8526470065116882,0.25,0.25,0.08333333333333333,0.7178571428571429,0.0673076923076923,0.07954545454545454,0.48392857142857143,0.3932753801345825,0.949349895119667,0
SEUMLD,OADNet_text,0,123,3.0,0.7,True,0.3,0.09999999999999999,0.3932753801345825,0.8526470065116882,0.3,0.3,0.09999999999999999,0.65,0.08653846153846154,0.07954545454545454,0.4714285714285714,0.3932753801345825,0.9291384145617485,1
SEUMLD,OADNet_text,0,123,3.0,0.8,True,0.075,0.024999999999999998,0.7153888940811157,0.968048881739378,0.05,0.05,0.016666666666666666,0.8892857142857142,0.0,0.03977272727272727,0.46964285714285714,0.5212686657905579,0.9734196532517672,0
SEUMLD,OADNet_text,0,123,3.0,0.8,True,0.075,0.024999999999999998,0.7153888940811157,0.968048881739378,0.075,0.075,0.024999999999999998,0.7964285714285714,0.009615384615384616,0.06818181818181818,0.4517857142857143,0.41251620650291443,0.9568813666701317,1
SEUMLD,OADNet_text,0,123,3.0,0.8,True,0.075,0.024999999999999998,0.7153888940811157,0.968048881739378,0.1,0.1,0.03333333333333333,0.775,0.019230769230769232,0.07954545454545454,0.4589285714285714,0.3932753801345825,0.95528968796134,0
SEUMLD,OADNet_text,0,123,3.0,0.8,True,0.075,0.024999999999999998,0.7153888940811157,0.968048881739378,0.15,0.15,0.049999999999999996,0.7678571428571429,0.038461538461538464,0.07954545454545454,0.4767857142857143,0.3932753801345825,0.950659453868866,0
SEUMLD,OADNet_text,0,123,3.0,0.8,True,0.075,0.024999999999999998,0.7153888940811157,0.968048881739378,0.2,0.2,0.06666666666666667,0.725,0.057692307692307696,0.07954545454545454,0.4767857142857143,0.3932753801345825,0.94989949837327,0
SEUMLD,OADNet_text,0,123,3.0,0.8,True,0.075,0.024999999999999998,0.7153888940811157,0.968048881739378,0.25,0.25,0.08333333333333333,0.7178571428571429,0.0673076923076923,0.07954545454545454,0.48392857142857143,0.3932753801345825,0.949349895119667,0
SEUMLD,OADNet_text,0,123,3.0,0.8,True,0.075,0.024999999999999998,0.7153888940811157,0.968048881739378,0.3,0.3,0.09999999999999999,0.65,0.08653846153846154,0.07954545454545454,0.4714285714285714,0.3932753801345825,0.9291384145617485,0
SEUMLD,OADNet_text,0,2024,3.0,0.5,False,0.3,0.09999999999999999,0.35621610283851624,0.7965532541275024,0.05,0.05,0.016666666666666666,0.9035714285714286,0.0,0.03977272727272727,0.4767857142857143,0.5048467516899109,0.9604747109115124,0
SEUMLD,OADNet_text,0,2024,3.0,0.5,False,0.3,0.09999999999999999,0.35621610283851624,0.7965532541275024,0.075,0.075,0.024999999999999998,0.8178571428571428,0.009615384615384616,0.06818181818181818,0.4625,0.41211602091789246,0.935374304652214,0
SEUMLD,OADNet_text,0,2024,3.0,0.5,False,0.3,0.09999999999999999,0.35621610283851624,0.7965532541275024,0.1,0.1,0.03333333333333333,0.7821428571428571,0.019230769230769232,0.09090909090909091,0.46964285714285714,0.3672569692134857,0.9274560958147049,0
SEUMLD,OADNet_text,0,2024,3.0,0.5,False,0.3,0.09999999999999999,0.35621610283851624,0.7965532541275024,0.15,0.15,0.049999999999999996,0.75,0.038461538461538464,0.10227272727272728,0.48214285714285715,0.35621610283851624,0.9206890761852264,0
SEUMLD,OADNet_text,0,2024,3.0,0.5,False,0.3,0.09999999999999999,0.35621610283851624,0.7965532541275024,0.2,0.2,0.06666666666666667,0.6964285714285714,0.057692307692307696,0.10227272727272728,0.4767857142857143,0.35621610283851624,0.9141195043921471,0
SEUMLD,OADNet_text,0,2024,3.0,0.5,False,0.3,0.09999999999999999,0.35621610283851624,0.7965532541275024,0.25,0.25,0.08333333333333333,0.6892857142857143,0.0673076923076923,0.10227272727272728,0.48392857142857143,0.35621610283851624,0.9135767892003059,0
SEUMLD,OADNet_text,0,2024,3.0,0.5,False,0.3,0.09999999999999999,0.35621610283851624,0.7965532541275024,0.3,0.3,0.09999999999999999,0.6821428571428572,0.08653846153846154,0.10227272727272728,0.5017857142857143,0.35621610283851624,0.9093118831515312,1
SEUMLD,OADNet_text,0,2024,3.0,0.6,False,0.3,0.09999999999999999,0.35621610283851624,0.7965532541275024,0.05,0.05,0.016666666666666666,0.9035714285714286,0.0,0.03977272727272727,0.4767857142857143,0.5048467516899109,0.9604747109115124,0
SEUMLD,OADNet_text,0,2024,3.0,0.6,False,0.3,0.09999999999999999,0.35621610283851624,0.7965532541275024,0.075,0.075,0.024999999999999998,0.8178571428571428,0.009615384615384616,0.06818181818181818,0.4625,0.41211602091789246,0.935374304652214,0
SEUMLD,OADNet_text,0,2024,3.0,0.6,False,0.3,0.09999999999999999,0.35621610283851624,0.7965532541275024,0.1,0.1,0.03333333333333333,0.7821428571428571,0.019230769230769232,0.09090909090909091,0.46964285714285714,0.3672569692134857,0.9274560958147049,0
SEUMLD,OADNet_text,0,2024,3.0,0.6,False,0.3,0.09999999999999999,0.35621610283851624,0.7965532541275024,0.15,0.15,0.049999999999999996,0.75,0.038461538461538464,0.10227272727272728,0.48214285714285715,0.35621610283851624,0.9206890761852264,0
SEUMLD,OADNet_text,0,2024,3.0,0.6,False,0.3,0.09999999999999999,0.35621610283851624,0.7965532541275024,0.2,0.2,0.06666666666666667,0.6964285714285714,0.057692307692307696,0.10227272727272728,0.4767857142857143,0.35621610283851624,0.9141195043921471,0
SEUMLD,OADNet_text,0,2024,3.0,0.6,False,0.3,0.09999999999999999,0.35621610283851624,0.7965532541275024,0.25,0.25,0.08333333333333333,0.6892857142857143,0.0673076923076923,0.10227272727272728,0.48392857142857143,0.35621610283851624,0.9135767892003059,0
SEUMLD,OADNet_text,0,2024,3.0,0.6,False,0.3,0.09999999999999999,0.35621610283851624,0.7965532541275024,0.3,0.3,0.09999999999999999,0.6821428571428572,0.08653846153846154,0.10227272727272728,0.5017857142857143,0.35621610283851624,0.9093118831515312,1
SEUMLD,OADNet_text,0,2024,3.0,0.7,True,0.2,0.06666666666666667,0.3690609037876129,0.8636218160390854,0.05,0.05,0.016666666666666666,0.9035714285714286,0.0,0.03977272727272727,0.4767857142857143,0.5048467516899109,0.9604747109115124,0
SEUMLD,OADNet_text,0,2024,3.0,0.7,True,0.2,0.06666666666666667,0.3690609037876129,0.8636218160390854,0.075,0.075,0.024999999999999998,0.8178571428571428,0.009615384615384616,0.06818181818181818,0.4625,0.41211602091789246,0.935374304652214,0
SEUMLD,OADNet_text,0,2024,3.0,0.7,True,0.2,0.06666666666666667,0.3690609037876129,0.8636218160390854,0.1,0.1,0.03333333333333333,0.7821428571428571,0.019230769230769232,0.09090909090909091,0.46964285714285714,0.3672569692134857,0.9274560958147049,0
SEUMLD,OADNet_text,0,2024,3.0,0.7,True,0.2,0.06666666666666667,0.3690609037876129,0.8636218160390854,0.15,0.15,0.049999999999999996,0.75,0.038461538461538464,0.10227272727272728,0.48214285714285715,0.35621610283851624,0.9206890761852264,0
SEUMLD,OADNet_text,0,2024,3.0,0.7,True,0.2,0.06666666666666667,0.3690609037876129,0.8636218160390854,0.2,0.2,0.06666666666666667,0.6964285714285714,0.057692307692307696,0.10227272727272728,0.4767857142857143,0.35621610283851624,0.9141195043921471,1
